Species,Colony,DEPTH,SITE,Spec_depth,File,Time,DATE,TIME,fv_fm,Sigma,p,Pmax,Prevalence,of_HC,of_live,of_total,Size_anot
Leptoseris,39,25,IUI_S,Leptoseris_25,20220712.15,N,12_07_2022,35489,0.4416,552.74,0.096,238.02,22,1.159725883,0.7222587,0.390625,1
Leptoseris,158,25,IUI_N,Leptoseris_25,20220713.34,AM,13_07_2022,50934,0.4784,515.14,0.15,158.82,22,1.159725883,0.7222587,0.390625,1
Leptoseris,162,25,IUI_N,Leptoseris_25,20220713.36,AM,13_07_2022,51310,0.3976,563.36,0.116,126.3,22,1.159725883,0.7222587,0.390625,1
Leptoseris,163,25,IUI_N,Leptoseris_25,20220713.36,AM,13_07_2022,51426,0.492,552.92,0.218,111.64,22,1.159725883,0.7222587,0.390625,1
Leptoseris,164,25,IUI_N,Leptoseris_25,20220713.37,AM,13_07_2022,51614,0.4156,730.22,0.232,183.86,22,1.159725883,0.7222587,0.390625,1
Leptoseris,187,25,JG,Leptoseris_25,20220714.12,PM,14_07_2022,46722,0.4304,436.76,0.024,177.02,22,1.159725883,0.7222587,0.390625,1
Leptoseris,197,25,JG,Leptoseris_25,20220714.17,PM,14_07_2022,47799,0.4584,503.04,0.048,144,22,1.159725883,0.7222587,0.390625,1
Leptoseris,217,35,JG,Leptoseris_35,20220715.03,AM,15_07_2022,23516,0.4828,566.98,0.25,88.1,62,3.32261522,2.647309991,1.041666667,2
Leptoseris,218,35,JG,Leptoseris_35,20220715.03,AM,15_07_2022,23562,0.4844,545.76,0.214,85.84,62,3.32261522,2.647309991,1.041666667,2
Leptoseris,220,35,JG,Leptoseris_35,20220715.04,AM,15_07_2022,23725,0.4646,421.54,0.046,72.56,62,3.32261522,2.647309991,1.041666667,2
Leptoseris,224,35,JG,Leptoseris_35,20220715.06,AM,15_07_2022,24039,0.4914,531.54,0.146,73,62,3.32261522,2.647309991,1.041666667,2
Leptoseris,225,35,JG,Leptoseris_35,20220715.07,AM,15_07_2022,24095,0.4904,535.7,0.26,71.54,62,3.32261522,2.647309991,1.041666667,2
Leptoseris,230,35,JG,Leptoseris_35,20220715.09,AM,15_07_2022,24447,0.4998,540.92,0.128,112.58,62,3.32261522,2.647309991,1.041666667,2
Leptoseris,231,35,JG,Leptoseris_35,20220715.1,AM,15_07_2022,24520,0.4836,530.84,0.176,80.3,62,3.32261522,2.647309991,1.041666667,2
Leptoseris,12,45,IUI_S,Leptoseris_45,20220712.06,N,12_07_2022,33794,0.343,366.94,0.014,117.06,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,13,45,IUI_S,Leptoseris_45,20220712.07,N,12_07_2022,33862,0.3622,455.28,0.118,87.98,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,14,45,IUI_S,Leptoseris_45,20220712.07,N,12_07_2022,33943,0.385,500.06,0.058,112.26,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,15,45,IUI_S,Leptoseris_45,20220712.08,N,12_07_2022,34055,0.3044,578.98,0.088,138.06,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,16,45,IUI_S,Leptoseris_45,20220712.08,N,12_07_2022,34107,0.3646,448.36,0.042,115.84,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,17,45,IUI_S,Leptoseris_45,20220712.09,N,12_07_2022,34197,0.285,365.94,0.006,125.82,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,20,45,IUI_S,Leptoseris_45,20220712.1,N,12_07_2022,34394,0.4112,392.38,0.08,104.96,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,140,45,IUI_N,Leptoseris_45,20220713.24,AM,13_07_2022,48615,0.2065,753.744,,240.625,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,142,45,IUI_N,Leptoseris_45,20220713.25,AM,13_07_2022,48854,0.2996,586.42,0.104,188.1,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,143,45,IUI_N,Leptoseris_45,20220713.26,AM,13_07_2022,48972,0.2736,574.5,0.082,163,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,144,45,IUI_N,Leptoseris_45,20220713.26,AM,13_07_2022,49119,0.2406,635.94,0.16,235.96,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,145,45,IUI_N,Leptoseris_45,20220713.27,AM,13_07_2022,49217,0.3365,559.35,,220.25,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,166,45,JG,Leptoseris_45,20220714.01,PM,14_07_2022,44711,0.3982,416.78,0.014,95.88,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,171,45,JG,Leptoseris_45,20220714.04,PM,14_07_2022,45054,0.4132,487.04,0.03,117.56,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,172,45,JG,Leptoseris_45,20220714.04,PM,14_07_2022,45123,0.3948,535.94,0.026,177.44,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,173,45,JG,Leptoseris_45,20220714.05,PM,14_07_2022,45193,0.4056,396.66,0.03,132.66,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,176,45,JG,Leptoseris_45,20220714.06,PM,14_07_2022,45409,0.4528,576.92,0.198,80.66,69,3.326904532,2.854778651,1.134868421,3
Leptoseris,181,45,JG,Leptoseris_45,20220714.09,PM,14_07_2022,45869,0.391,409.36,0,113.74,69,3.326904532,2.854778651,1.134868421,3
Pocillopora,43,25,IUI_S,Pocillopora_25,20220712.17,N,12_07_2022,35944,0.4044,276.02,0.044,178.06,3,0.158144439,0.098489823,0.053267045,1
Pocillopora,44,25,IUI_S,Pocillopora_25,20220712.17,N,12_07_2022,36039,0.4394,322.14,0.07,118.86,3,0.158144439,0.098489823,0.053267045,1
Pocillopora,45,25,IUI_S,Pocillopora_25,20220712.18,N,12_07_2022,36111,0.4034,365.32,0.012,216.52,3,0.158144439,0.098489823,0.053267045,1
Pocillopora,47,5,IUI_S,Pocillopora_5,20220712.19,N,12_07_2022,37119,0.4182,357.48,0.102,219.16,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,48,5,IUI_S,Pocillopora_5,20220712.19,N,12_07_2022,37260,0.3674,311.04,0.088,223.76,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,54,5,IUI_S,Pocillopora_5,20220712.22,N,12_07_2022,38370,0.3672,351.58,0.046,210.28,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,56,5,IUI_S,Pocillopora_5,20220712.23,N,12_07_2022,38585,0.366,381.36,0.106,223.3,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,57,5,IUI_S,Pocillopora_5,20220712.24,N,12_07_2022,38650,0.4124,383.64,0.158,182.62,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,72,15,IUI_S,Pocillopora_15,20220712.31,PM,12_07_2022,49493,0.4516,328.16,0.078,102.68,44,4.334975369,2.331743508,0.6875,2
Pocillopora,76,15,IUI_S,Pocillopora_15,20220712.33,PM,12_07_2022,49866,0.4194,376.22,0.132,156.04,44,4.334975369,2.331743508,0.6875,2
Pocillopora,77,15,IUI_S,Pocillopora_15,20220712.34,PM,12_07_2022,49960,0.441,328.72,0.154,134.74,44,4.334975369,2.331743508,0.6875,2
Pocillopora,80,15,IUI_S,Pocillopora_15,20220712.36,PM,12_07_2022,50396,0.438,370.18,0.196,110.62,44,4.334975369,2.331743508,0.6875,2
Pocillopora,83,15,IUI_S,Pocillopora_15,20220712.37,PM,12_07_2022,50658,0.4588,365.24,0.086,137.06,44,4.334975369,2.331743508,0.6875,2
Pocillopora,89,5,IUI_S,Pocillopora_5,20220712.4,PM,12_07_2022,51483,0.4546,373.88,0.142,171.54,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,90,5,IUI_S,Pocillopora_5,20220712.41,PM,12_07_2022,51581,0.3652,282,0.164,204.1,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,91,5,IUI_S,Pocillopora_5,20220712.41,PM,12_07_2022,51674,0.404,291,0.082,279.98,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,92,5,IUI_S,Pocillopora_5,20220712.42,PM,12_07_2022,51795,0.4295,354.1,0.146666667,146.0166667,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,104,15,IUI_N,Pocillopora_15,20220713.06,N,13_07_2022,42287,0.4608,372.56,0.192,156,44,4.334975369,2.331743508,0.6875,2
Pocillopora,105,15,IUI_N,Pocillopora_15,20220713.06,N,13_07_2022,42376,0.4246,363.5,0.162,277.08,44,4.334975369,2.331743508,0.6875,2
Pocillopora,106,15,IUI_N,Pocillopora_15,20220713.07,N,13_07_2022,42469,0.3912,289.68,0.148,176,44,4.334975369,2.331743508,0.6875,2
Pocillopora,107,15,IUI_N,Pocillopora_15,20220713.07,N,13_07_2022,42544,0.377,299.52,0.256,292.66,44,4.334975369,2.331743508,0.6875,2
Pocillopora,108,15,IUI_N,Pocillopora_15,20220713.08,N,13_07_2022,42633,0.3712,281.82,0.28,263.36,44,4.334975369,2.331743508,0.6875,2
Pocillopora,124,5,IUI_N,Pocillopora_5,20220713.16,N,13_07_2022,44341,0.3925,358.7166667,0.191666667,172.0833333,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,125,5,IUI_N,Pocillopora_5,20220713.17,N,13_07_2022,44396,0.3622,248.6,0.162,221.84,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,126,5,IUI_N,Pocillopora_5,20220713.17,N,13_07_2022,44474,0.4098,384.9,0.062,168.02,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,127,5,IUI_N,Pocillopora_5,20220713.18,N,13_07_2022,44572,0.3746,337.62,0.17,170.9,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,128,5,IUI_N,Pocillopora_5,20220713.18,N,13_07_2022,44669,0.3424,281.02,0.094,209.14,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,186,25,JG,Pocillopora_25,20220714.11,PM,14_07_2022,46658,0.4404,314.32,0.046,143.28,3,0.158144439,0.098489823,0.053267045,1
Pocillopora,191,25,JG,Pocillopora_25,20220714.14,PM,14_07_2022,47116,0.4056,370.86,0.1,176.52,3,0.158144439,0.098489823,0.053267045,1
Pocillopora,196,25,JG,Pocillopora_25,20220714.16,PM,14_07_2022,47585,0.4208,365.08,0.028,207.56,3,0.158144439,0.098489823,0.053267045,1
Pocillopora,198,5,JG,Pocillopora_5,20220714.17,PM,14_07_2022,48560,0.387,417.46,0.12,370.42,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,199,5,JG,Pocillopora_5,20220714.18,PM,14_07_2022,48675,0.458,446.02,0.058,219.2,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,201,5,JG,Pocillopora_5,20220714.19,PM,14_07_2022,49095,0.4474,461.3,0.072,267.1,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,202,5,JG,Pocillopora_5,20220714.19,PM,14_07_2022,49209,0.444,389.6,0.088,260.88,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,204,5,JG,Pocillopora_5,20220714.2,PM,14_07_2022,49416,0.4434,435.5,0.076,166.56,52,5.210420842,2.919708029,0.923295455,3
Pocillopora,232,15,JG,Pocillopora_15,20220715.1,AM,15_07_2022,24938,0.4544,381.42,0.078,187.36,44,4.334975369,2.331743508,0.6875,2
Pocillopora,234,15,JG,Pocillopora_15,20220715.11,AM,15_07_2022,25096,0.4858,363.38,0.102,155.76,44,4.334975369,2.331743508,0.6875,2
Pocillopora,235,15,JG,Pocillopora_15,20220715.12,AM,15_07_2022,25168,0.4856,383.9,0.104,143.36,44,4.334975369,2.331743508,0.6875,2
Pocillopora,238,15,JG,Pocillopora_15,20220715.13,AM,15_07_2022,25446,0.488,333.18,0.08,192.4,44,4.334975369,2.331743508,0.6875,2
Pocillopora,241,15,JG,Pocillopora_15,20220715.15,AM,15_07_2022,25769,0.4818,459.06,0.164,194.24,44,4.334975369,2.331743508,0.6875,2
,,,,,,,,,,,,,,,,,
Porites,1,45,IUI_S,Porites_45,20220712.01,N,12_07_2022,32942,0.4588,424.46,0.058,186.88,60,2.892960463,2.482416218,0.986842105,2
Porites,2,45,IUI_S,Porites_45,20220712.01,N,12_07_2022,33003,0.4344,497.54,0.074,114.78,60,2.892960463,2.482416218,0.986842105,2
Porites,3,45,IUI_S,Porites_45,20220712.02,N,12_07_2022,33072,0.4546,471.08,0.028,156.46,60,2.892960463,2.482416218,0.986842105,2
Porites,4,45,IUI_S,Porites_45,20220712.02,N,12_07_2022,33136,0.4096,618.18,0.164,270.3,60,2.892960463,2.482416218,0.986842105,2
Porites,5,45,IUI_S,Porites_45,20220712.03,N,12_07_2022,33207,0.4712,493.94,0.036,163.5,60,2.892960463,2.482416218,0.986842105,2
Porites,6,45,IUI_S,Porites_45,20220712.03,N,12_07_2022,33272,0.4612,488.48,0.12,190.18,60,2.892960463,2.482416218,0.986842105,2
Porites,7,45,IUI_S,Porites_45,20220712.04,N,12_07_2022,33340,0.3834,523.82,0.094,239.3,60,2.892960463,2.482416218,0.986842105,2
Porites,36,25,IUI_S,Porites_25,20220712.13,N,12_07_2022,35230,0.3418,546.26,0.172,176.1,156,8.223510807,5.121470781,2.769886364,4
Porites,37,25,IUI_S,Porites_25,20220712.14,N,12_07_2022,35311,0.4414,553.3,0.052,257.28,156,8.223510807,5.121470781,2.769886364,4
Porites,38,25,IUI_S,Porites_25,20220712.14,N,12_07_2022,35405,0.3282,510.34,0.062,129.98,156,8.223510807,5.121470781,2.769886364,4
Porites,40,25,IUI_S,Porites_25,20220712.15,N,12_07_2022,35617,0.343,471.82,0.122,137.44,156,8.223510807,5.121470781,2.769886364,4
Porites,41,25,IUI_S,Porites_25,20220712.16,N,12_07_2022,35699,0.2948,338.76,0.018,119.04,156,8.223510807,5.121470781,2.769886364,4
Porites,42,25,IUI_S,Porites_25,20220712.16,N,12_07_2022,35870,0.4052,416.14,0.074,170.84,156,8.223510807,5.121470781,2.769886364,4
Porites,49,5,IUI_S,Porites_5,20220712.2,N,12_07_2022,37535,0.235,352.4,0.128,1047.6,6,0.601202405,0.336889388,0.106534091,1
Porites,50,5,IUI_S,Porites_5,20220712.2,N,12_07_2022,37782,0.3626,644.02,0.23,283.74,6,0.601202405,0.336889388,0.106534091,1
Porites,59,5,IUI_S,Porites_5,20220712.25,N,12_07_2022,38956,0.20825,448.925,0.015,187.94,6,0.601202405,0.336889388,0.106534091,1
Porites,60,35,IUI_S,Porites_35,20220712.25,PM,12_07_2022,47866,0.412,493.66,0.138,135,180,9.646302251,7.685738685,3.024193548,5
Porites,61,35,IUI_S,Porites_35,20220712.26,PM,12_07_2022,47959,0.4498,426.78,0.076,87.74,180,9.646302251,7.685738685,3.024193548,5
Porites,62,35,IUI_S,Porites_35,20220712.26,PM,12_07_2022,48031,0.2982,666.48,0.262,209.84,180,9.646302251,7.685738685,3.024193548,5
Porites,73,15,IUI_S,Porites_15,20220712.32,PM,12_07_2022,49573,0.23625,901.1,0.3675,170.55,68,6.699507389,3.603603604,1.0625,3
Porites,74,15,IUI_S,Porites_15,20220712.32,PM,12_07_2022,49665,0.4694,485.02,0.18,176.8,68,6.699507389,3.603603604,1.0625,3
Porites,75,15,IUI_S,Porites_15,20220712.33,PM,12_07_2022,49767,0.2548,1122,0.37,282.22,68,6.699507389,3.603603604,1.0625,3
Porites,81,15,IUI_S,Porites_15,20220712.36,PM,12_07_2022,50468,0.3188,760.88,0.324,174.08,68,6.699507389,3.603603604,1.0625,3
Porites,82,15,IUI_S,Porites_15,20220712.37,PM,12_07_2022,50562,0.2498,957.82,0.374,358.54,68,6.699507389,3.603603604,1.0625,3
Porites,94,35,IUI_N,Porites_35,20220713.01,N,13_07_2022,40986,0.4136,449.64,0.134,140.28,180,9.646302251,7.685738685,3.024193548,5
Porites,95,35,IUI_N,Porites_35,20220713.01,N,13_07_2022,41092,0.433,430.12,0.142,116.54,180,9.646302251,7.685738685,3.024193548,5
Porites,96,35,IUI_N,Porites_35,20220713.02,N,13_07_2022,41156,0.4116,555.62,0.106,223.52,180,9.646302251,7.685738685,3.024193548,5
Porites,97,35,IUI_N,Porites_35,20220713.02,N,13_07_2022,41226,0.397,542.86,0.156,205.06,180,9.646302251,7.685738685,3.024193548,5
Porites,98,35,IUI_N,Porites_35,20220713.03,N,13_07_2022,41309,0.443,523.42,0.096,171,180,9.646302251,7.685738685,3.024193548,5
Porites,114,15,IUI_N,Porites_15,20220713.11,N,13_07_2022,43259,0.3744,435.18,0.118,173.1,68,6.699507389,3.603603604,1.0625,3
Porites,115,15,IUI_N,Porites_15,20220713.11,N,13_07_2022,43335,0.3272,383.14,0.064,178.56,68,6.699507389,3.603603604,1.0625,3
Porites,116,15,IUI_N,Porites_15,20220713.12,N,13_07_2022,43425,0.3364,431.28,0.068,151.54,68,6.699507389,3.603603604,1.0625,3
Porites,118,15,IUI_N,Porites_15,20220713.13,N,13_07_2022,43602,0.2206,309.42,0.02,181.56,68,6.699507389,3.603603604,1.0625,3
Porites,129,5,IUI_N,Porites_5,20220713.19,N,13_07_2022,44736,0.3828,691.9,0.238,227.2,6,0.601202405,0.336889388,0.106534091,1
Porites,130,5,IUI_N,Porites_5,20220713.19,N,13_07_2022,44893,0.2096,395.52,0.104,278.54,6,0.601202405,0.336889388,0.106534091,1
Porites,131,5,IUI_N,Porites_5,20220713.2,N,13_07_2022,44962,0.1916,291.2,0.026,1354.94,6,0.601202405,0.336889388,0.106534091,1
Porites,132,5,IUI_N,Porites_5,20220713.2,N,13_07_2022,45056,0.3254,320.98,0.1,261.34,6,0.601202405,0.336889388,0.106534091,1
Porites,133,5,IUI_N,Porites_5,20220713.21,N,13_07_2022,45238,0.3576,697.06,0.192,251.66,6,0.601202405,0.336889388,0.106534091,1
Porites,134,45,IUI_N,Porites_45,20220713.21,AM,13_07_2022,48171,0.4546,504.64,0.158,354.1,60,2.892960463,2.482416218,0.986842105,2
Porites,135,45,IUI_N,Porites_45,20220713.22,AM,13_07_2022,48229,0.4182,508.48,0.122,284.14,60,2.892960463,2.482416218,0.986842105,2
Porites,136,45,IUI_N,Porites_45,20220713.22,AM,13_07_2022,48294,0.4408,458.52,0.112,188.14,60,2.892960463,2.482416218,0.986842105,2
Porites,137,45,IUI_N,Porites_45,20220713.23,AM,13_07_2022,48359,0.2736,858.28,0.368,202.86,60,2.892960463,2.482416218,0.986842105,2
Porites,138,45,IUI_N,Porites_45,20220713.23,AM,13_07_2022,48445,0.3864,594.02,0.128,285.12,60,2.892960463,2.482416218,0.986842105,2
