Species,variable,contrast,df,t.ratio,p.value
Leptoseris,fv_fm,DEPTH25 - DEPTH35,26.99924197,-0.906675871,0.640823445
Leptoseris,fv_fm,DEPTH25 - DEPTH45,26.58226719,5.221407776,5.09E-05
Leptoseris,fv_fm,DEPTH35 - DEPTH45,26.95119649,5.86728144,8.83E-06
Leptoseris,p,DEPTH25 - DEPTH35,26.75791468,-2.57533072,0.040716883
Leptoseris,p,DEPTH25 - DEPTH45,26.21260428,1.269516539,0.42445857
Leptoseris,p,DEPTH35 - DEPTH45,26.60039498,4.258403954,0.000648712
Leptoseris,Pmax,DEPTH25 - DEPTH35,11.64960142,3.556328794,0.010634375
Leptoseris,Pmax,DEPTH25 - DEPTH45,24.68478356,1.588040678,0.269487919
Leptoseris,Pmax,DEPTH35 - DEPTH45,11.86921333,-2.825199351,0.038171721
Pocillopora,fv_fm,DEPTH5 - DEPTH15,36.1005105,-4.114714868,0.000615256
Pocillopora,fv_fm,DEPTH5 - DEPTH25,36.27778495,-0.030771933,0.999478085
Pocillopora,fv_fm,DEPTH15 - DEPTH25,36.34189019,2.815343308,0.020855634
Pocillopora,p,DEPTH5 - DEPTH15,36.26233064,-1.895546858,0.154475132
Pocillopora,p,DEPTH5 - DEPTH25,36.65931109,2.683676372,0.028593649
Pocillopora,p,DEPTH15 - DEPTH25,36.8003396,3.874489646,0.001205535
Pocillopora,Pmax,DEPTH5 - DEPTH15,37.38454684,2.513200922,0.042381689
Pocillopora,Pmax,DEPTH5 - DEPTH25,37.90191014,1.746333438,0.201559461
Pocillopora,Pmax,DEPTH15 - DEPTH25,37.99790449,-0.076922194,0.996743411
Porites,fv_fm,DEPTH5 - DEPTH15,71.17514126,-0.768407033,0.938820837
Porites,fv_fm,DEPTH5 - DEPTH25,71.34740824,-2.728967889,0.059502895
Porites,fv_fm,DEPTH5 - DEPTH35,71.02919417,-5.352143169,9.89E-06
Porites,fv_fm,DEPTH5 - DEPTH45,71.2778186,-6.060488112,5.74E-07
Porites,fv_fm,DEPTH15 - DEPTH25,71.03305999,-2.03828065,0.258758395
Porites,fv_fm,DEPTH15 - DEPTH35,71.26814136,-4.742937102,0.000100615
Porites,fv_fm,DEPTH15 - DEPTH45,71.02140355,-5.493794447,5.67E-06
Porites,fv_fm,DEPTH25 - DEPTH35,71.46714365,-2.81238079,0.048291887
Porites,fv_fm,DEPTH25 - DEPTH45,71.02935013,-3.409720516,0.009216345
Porites,fv_fm,DEPTH35 - DEPTH45,71.43147713,-0.303953512,0.998100155
Porites,p,DEPTH5 - DEPTH15,71.31793349,-1.81589621,0.37266218
Porites,p,DEPTH5 - DEPTH25,71.61800941,-0.074391444,0.999992887
Porites,p,DEPTH5 - DEPTH35,71.05633663,-1.38050444,0.642012273
Porites,p,DEPTH5 - DEPTH45,71.49903964,0.898620726,0.896487024
Porites,p,DEPTH15 - DEPTH25,71.06135524,1.84210241,0.358069277
Porites,p,DEPTH15 - DEPTH35,71.48305523,0.423987971,0.993106652
Porites,p,DEPTH15 - DEPTH45,71.04125028,2.962498213,0.032731994
Porites,p,DEPTH25 - DEPTH35,71.81941575,-1.364503712,0.652061186
Porites,p,DEPTH25 - DEPTH45,71.05605745,1.042470702,0.83470125
Porites,p,DEPTH35 - DEPTH45,71.76437281,2.429225793,0.11932994
Porites,Pmax,DEPTH5 - DEPTH15,71.40095091,2.655312443,0.071152216
Porites,Pmax,DEPTH5 - DEPTH25,71.76932768,4.55350556,0.000200092
Porites,Pmax,DEPTH5 - DEPTH35,71.07377308,4.964100207,4.41E-05
Porites,Pmax,DEPTH5 - DEPTH45,71.62512876,3.286577839,0.013221998
Porites,Pmax,DEPTH15 - DEPTH25,71.07844828,1.954782909,0.298721395
Porites,Pmax,DEPTH15 - DEPTH35,71.60619815,2.41720131,0.122517717
Porites,Pmax,DEPTH15 - DEPTH45,71.05397871,0.491440219,0.987921984
Porites,Pmax,DEPTH25 - DEPTH35,72.01036521,0.542018382,0.982576417
Porites,Pmax,DEPTH25 - DEPTH45,71.07295682,-1.594264582,0.505973958
Porites,Pmax,DEPTH35 - DEPTH45,71.94832382,-2.090619577,0.235397236
Stylophora,fv_fm,DEPTH5 - DEPTH15,74.59523044,-2.787099139,0.051089497
Stylophora,fv_fm,DEPTH5 - DEPTH25,74.23233646,-3.02582334,0.02731248
Stylophora,fv_fm,DEPTH5 - DEPTH35,74.98909404,-6.008366699,6.18E-07
Stylophora,fv_fm,DEPTH5 - DEPTH45,74.34053972,-7.581746633,6.79E-10
Stylophora,fv_fm,DEPTH15 - DEPTH25,74.10157512,-0.09817502,0.999978487
Stylophora,fv_fm,DEPTH15 - DEPTH35,74.08043541,-3.059952611,0.024886815
Stylophora,fv_fm,DEPTH15 - DEPTH45,74.07719067,-4.24711996,0.000580644
Stylophora,fv_fm,DEPTH25 - DEPTH35,74.33448527,-3.045822336,0.025849965
Stylophora,fv_fm,DEPTH25 - DEPTH45,74.02356693,-4.301965211,0.000478689
Stylophora,fv_fm,DEPTH35 - DEPTH45,74.24630519,-1.038571378,0.836608009
Stylophora,p,DEPTH5 - DEPTH15,75.93201726,-2.592056427,0.08199607
Stylophora,p,DEPTH5 - DEPTH25,75.0084327,2.512958928,0.098583432
Stylophora,p,DEPTH5 - DEPTH35,75.52135048,-0.927948295,0.885190646
Stylophora,p,DEPTH5 - DEPTH45,75.3902064,1.528708615,0.547353768
Stylophora,p,DEPTH15 - DEPTH25,74.47307784,4.827961839,6.90E-05
Stylophora,p,DEPTH15 - DEPTH35,74.38343566,1.548554941,0.534744624
Stylophora,p,DEPTH15 - DEPTH45,74.35227032,3.962935542,0.00154137
Stylophora,p,DEPTH25 - DEPTH35,75.37204182,-3.202002645,0.016610176
Stylophora,p,DEPTH25 - DEPTH45,74.11351187,-0.973134576,0.866410832
Stylophora,p,DEPTH35 - DEPTH45,75.06287609,2.32619954,0.148080538
Stylophora,Pmax,DEPTH5 - DEPTH15,75.50979114,3.897754539,0.001898774
Stylophora,Pmax,DEPTH5 - DEPTH25,74.67027374,6.217154437,2.62E-07
Stylophora,Pmax,DEPTH5 - DEPTH35,75.98562819,8.20988657,0
Stylophora,Pmax,DEPTH5 - DEPTH45,74.95540334,10.15863956,0
Stylophora,Pmax,DEPTH15 - DEPTH25,74.30355329,1.952662267,0.299349519
Stylophora,Pmax,DEPTH15 - DEPTH35,74.24340783,4.144576459,0.000829227
Stylophora,Pmax,DEPTH15 - DEPTH45,74.2280194,5.535336481,4.38E-06
Stylophora,Pmax,DEPTH25 - DEPTH35,74.940583,2.309605001,0.153288158
Stylophora,Pmax,DEPTH25 - DEPTH45,74.07166501,3.687531678,0.0038196
Stylophora,Pmax,DEPTH35 - DEPTH45,74.70876295,1.188221243,0.758063246
Stylophora,Sigma,DEPTH5 - DEPTH15,74.88773945,2.642556693,0.072868252
Stylophora,Sigma,DEPTH5 - DEPTH25,74.35728017,3.373933592,0.010078283
Stylophora,Sigma,DEPTH5 - DEPTH35,75.408335,3.781788939,0.002788098
Stylophora,Sigma,DEPTH5 - DEPTH45,74.52018078,1.733202381,0.420292838
Stylophora,Sigma,DEPTH15 - DEPTH25,74.15763523,0.555281044,0.980951581
Stylophora,Sigma,DEPTH15 - DEPTH35,74.12526033,1.102709027,0.80457877
Stylophora,Sigma,DEPTH15 - DEPTH45,74.11939303,-0.989384482,0.859294474
Stylophora,Sigma,DEPTH25 - DEPTH35,74.5112309,0.579917176,0.977641913
Stylophora,Sigma,DEPTH25 - DEPTH45,74.03674386,-1.610759517,0.495399584
Stylophora,Sigma,DEPTH35 - DEPTH45,74.37853894,-2.136042416,0.216037658